id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,Ticker
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,84094.0,1689350002092,1,1689351263518,42234246313.0,86589.0,83654.0,-2350.408397745705,-2.82387,-47166707553.43677,-2.71617,20088575.0,20088590.0,21000000.0,126080.0,-33.30079,2025-10-06T10:57:42.000Z,67.81,123916.41094,2013-07-05T16:00:00.000Z,,2026-09-24T05:57:20.000Z,-2.82387,4.4072,9.9777,BTC-USD
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2685.88,327883238870,2,327883238870,16921659093.0,2760.67,2642.7,-70.76523324344862,-2.63937,-8630364191.068726,-2.56464,122076229.26807936,122076229.2680793,,4946.05,-45.69632,2025-08-24T11:21:03.000Z,0.432979,620227.34014,2015-10-19T16:00:00.000Z,"{'times': 41.71590312814417, 'currency': 'btc', 'percentage': 4171.590312814417}",2026-09-24T05:57:20.000Z,-2.63937,7.3446,10.1729,ETH-USD
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999827,183510276660,3,188976256515,77962955037.0,0.999937,0.99964,4.877e-05,0.00311,80859316.0,0.04408,183542716766.92896,189009662872.4462,,1.32,-24.43273,2018-07-23T16:00:00.000Z,0.572521,74.63585,2015-03-01T16:00:00.000Z,,2026-09-24T05:57:20.000Z,0.00311,-0.0016,0.0555,USDT-USD
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,772.88,102917647081,4,102917643518,1260143463.0,792.34,758.22,-17.209838121012695,-2.2398,-2290877639.5804443,-2.17746,133159945.41,133159938.8,200000000.0,1369.99,-43.58498,2025-10-13T00:41:24.000Z,0.0398177,1940949.1721,2017-10-18T16:00:00.000Z,,2026-09-24T05:57:20.000Z,-2.2398,7.7314,6.2891,BNB-USD
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.51,94779395030,5,150710812198,5289820484.0,1.64,1.48,-0.09922792576915196,-6.35228,-6234961339.228119,-6.17235,62879209849.0,99985622230.0,100000000000.0,3.65,-58.66433,2025-07-17T19:40:53.000Z,0.00268621,56010.89769,2014-05-21T16:00:00.000Z,,2026-09-24T05:57:20.000Z,-6.35228,-0.8612,15.1653,XRP-USD
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999867,75412153045,6,75417790316,20808426484.0,0.999931,0.999676,1.689e-05,-0.00036,144006469.0,0.19132,75422178254.44742,75414934538.26707,,1.043,-4.17816,2018-11-14T16:00:00.000Z,0.877647,13.92592,2023-03-11T00:02:13.000Z,,2026-09-24T05:57:20.000Z,-0.00036,-0.0045,0.022,USDC-USD
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,115.06,67606407559,7,73017784605,5050982541.0,119.2,113.31,-3.2904519998495942,-2.89898,-1923440833.3447876,-2.76635,587577505.6821077,634608567.8064736,,293.31,-60.77319,2025-01-19T03:15:27.000Z,0.500801,22874.56851,2020-05-11T11:35:23.000Z,,2026-09-24T05:57:20.000Z,-2.89898,13.6375,15.5022,SOL-USD
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/photo_2026-04-13_09-59-16.png?1776048311,0.343374,32606301819,8,32606388522,513222154.0,0.344261,0.338585,-0.000392283816851968,-0.13833,-38334098.9057312,-0.11743,94964403310.6697,94964736281.344,,0.431288,-20.38414,2024-12-03T16:10:40.000Z,0.00180434,18930.42864,2017-11-11T16:00:00.000Z,"{'times': 179.65466435116215, 'currency': 'usd', 'percentage': 17965.466435116217}",2026-09-24T05:57:20.000Z,-0.13833,-0.4747,2.2597,TRX-USD
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/Brandmark-Yellow_%281%29.png?1785810558,1516.46,25703343522,9,25703634974,1745175690.0,1658.86,1482.0,-102.98417757759967,-6.45042,-1738333840.0921402,-6.33465,16949145.4780448,16949393.9155448,21000000.0,3191.93,-52.49077,2016-10-28T16:00:00.000Z,16.08,9330.65186,2024-07-04T20:22:29.000Z,,2026-09-24T05:57:20.000Z,-6.45042,79.006,10.233,ZEC-USD
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.035,23843427951,10,23843427951,29859361.0,1.035,1.022,0.00377145,0.36769,165707819.0,0.69985,23042572971.368,23042572971.368,,1.061,-2.43133,2026-08-03T14:19:20.000Z,0.155357,566.04939,2025-10-31T06:27:24.000Z,,2026-09-24T05:57:20.000Z,0.36769,-0.4315,0.5071,FIGR_HELOC-USD
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,92.61,20598362666,11,88460961189,1135565769.0,97.58,91.42,-4.7532954797992915,-5.04178,-1060045688.4541931,-4.89438,222445714.07414138,955307079.4341414,1000000000.0,97.96,-5.46255,2026-09-23T05:16:50.000Z,3.81,2331.55573,2024-11-29T01:30:30.000Z,,2026-09-24T05:57:20.000Z,-5.04178,14.6416,16.5766,HYPE-USD
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.094292,14714289948,12,16196110041,1760135024.0,0.102782,0.09172,-0.006902829302146432,-7.10166,-1075041436.1960697,-6.80866,156041516383.70526,171755713126.579,,0.731578,-87.11119,2021-05-07T21:08:23.000Z,8.69e-05,108401.32952,2015-05-05T16:00:00.000Z,,2026-09-24T05:57:20.000Z,-7.10166,2.4402,16.051,DOGE-USD
